Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,année
Racing 92,6,6,2,2,5,7,8,7,6,4,4,4,4,4,3,3,2,2,2,2,2,2,2,3,2,2,2017
Stade rochelais,4,10,3,4,2,5,4,3,3,3,2,1,2,1,2,2,3,6,7,8,6,5,6,8,7,7,2017
RC Toulon,2,5,4,6,6,4,6,4,5,8,8,7,5,5,5,5,4,4,5,3,4,4,4,4,4,4,2017
Stade toulousain,7,4,8,5,4,3,3,5,4,5,5,6,6,6,6,6,5,3,3,4,3,3,3,2,3,3,2017
SU Agen,14,10,12,9,12,12,13,12,13,13,12,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,2018
Union Bordeaux Bègles,3,6,8,10,9,7,8,5,8,7,6,5,4,7,5,5,5,6,4,6,6,6,8,9,9,10,2018
Castres olympique,6,3,5,3,5,4,5,9,7,6,7,6,9,8,8,8,7,5,3,5,5,5,4,5,5,7,2018
ASM Clermont,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2018
FC Grenoble,10,12,13,13,13,13,11,11,11,11,13,12,11,12,12,13,13,13,13,13,13,13,13,13,13,13,2018
Lyon OU,8,11,9,5,7,5,3,5,4,8,4,7,5,5,4,4,3,3,5,3,3,3,3,3,3,3,2018
Montpellier HR,9,5,7,11,8,6,4,7,9,9,9,9,8,9,9,9,9,9,9,9,9,9,7,7,6,6,2018
Stade français Paris,2,2,4,2,2,2,2,2,3,5,8,6,7,4,6,6,6,8,8,8,7,8,9,8,8,8,2018
Section paloise,12,8,6,8,10,10,10,10,10,10,11,11,12,10,10,10,11,11,11,11,11,11,11,11,11,11,2018
USA Perpignan,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2018
Racing 92,4,7,2,6,3,3,7,4,5,3,5,4,6,6,7,7,8,7,6,4,4,4,5,6,4,4,2018
Stade rochelais,5,9,10,7,6,9,9,8,6,4,3,3,3,3,3,3,4,4,7,7,8,7,6,4,7,5,2018
RC Toulon,11,14,11,12,11,11,12,13,12,12,10,10,10,11,11,11,10,10,10,10,10,10,10,10,10,9,2018
Stade toulousain,7,4,3,4,4,8,6,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2018
SU Agen,13,10,12,9,10,11,12,10,13,13,13,13,14,13,14,12,13,,,,,,,,,,2019
Aviron bayonnais,5,5,7,5,4,3,3,3,4,10,8,11,11,10,11,11,9,,,,,,,,,,2019
Union Bordeaux Bègles,6,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,,,,,,,,,,2019
CA Brive,12,14,13,14,12,9,13,9,12,8,6,9,9,9,9,10,11,,,,,,,,,,2019
Castres olympique,7,8,10,11,9,5,8,12,11,12,11,12,12,12,10,9,10,,,,,,,,,,2019
ASM Clermont,4,3,4,7,5,4,4,4,6,5,7,6,8,7,6,7,6,,,,,,,,,,2019
Lyon OU,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,,,,,,,,,,2019
Montpellier HR,8,4,3,4,6,8,10,7,7,3,5,8,6,8,7,8,8,,,,,,,,,,2019
Stade français Paris,14,13,9,13,14,14,14,14,14,14,14,14,13,14,12,13,14,,,,,,,,,,2019
Section paloise,3,9,5,3,3,6,11,8,3,9,12,10,10,11,13,14,12,,,,,,,,,,2019
Racing 92,10,7,6,10,13,10,9,13,10,11,10,7,5,4,3,5,3,,,,,,,,,,2019
Stade rochelais,11,11,14,8,8,12,6,6,9,7,9,5,4,3,5,3,5,,,,,,,,,,2019
RC Toulon,2,6,11,6,7,7,7,5,5,6,3,3,3,5,4,4,4,,,,,,,,,,2019
Stade toulousain,9,12,8,12,11,13,5,11,8,4,4,4,7,6,8,6,7,,,,,,,,,,2019
SU Agen,9,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2020
Aviron bayonnais,14,11,6,8,9,9,10,11,8,9,9,11,11,12,12,12,13,13,12,12,12,12,13,12,12,13,2020
Union Bordeaux Bègles,11,8,12,12,12,12,11,8,9,8,8,8,8,6,6,4,4,5,5,5,5,6,7,3,4,4,2020
